"","close","high","low","open","volumefrom","volumeto","CTime","from_sym","to_sym","LastTime"
"1",0.4464,0.4474,0.4464,0.447,591864.55,263412.03,2018-10-29 14:29:00,"XRP","USD",2018-10-29 14:28:00
"2",0.4456,0.447,0.4455,0.4464,402321.63,179416.15,2018-10-29 14:30:00,"XRP","USD",2018-10-29 14:28:00
"3",0.4448,0.4461,0.4446,0.4456,248191.99,110706.23,2018-10-29 14:31:00,"XRP","USD",2018-10-29 14:28:00
"4",0.4446,0.4449,0.4443,0.4448,136848.42,60892.71,2018-10-29 14:32:00,"XRP","USD",2018-10-29 14:28:00
"5",0.4442,0.4446,0.4434,0.4446,215584.35,94963.83,2018-10-29 14:33:00,"XRP","USD",2018-10-29 14:28:00
"6",0.4423,0.4442,0.4423,0.4442,0,0,2018-10-29 14:34:00,"XRP","USD",2018-10-29 14:28:00
"7",0.00007031,0.00007035,0.00007031,0.00007035,358485.11,25.21,2018-10-29 14:29:00,"XRP","BTC",2018-10-29 14:28:00
"8",0.00007026,0.00007033,0.00007024,0.00007031,439592.08,30.87,2018-10-29 14:30:00,"XRP","BTC",2018-10-29 14:28:00
"9",0.0000702,0.00007026,0.00007017,0.00007026,448467.15,31.44,2018-10-29 14:31:00,"XRP","BTC",2018-10-29 14:28:00
"10",0.00007012,0.0000702,0.00007011,0.0000702,287309.38,20.14,2018-10-29 14:32:00,"XRP","BTC",2018-10-29 14:28:00
"11",0.00007002,0.00007012,0.00007002,0.00007012,220615.6,15.46,2018-10-29 14:33:00,"XRP","BTC",2018-10-29 14:28:00
"12",0.00006997,0.00007002,0.00006997,0.00007002,0,0,2018-10-29 14:34:00,"XRP","BTC",2018-10-29 14:28:00
"13",6360.16,6360.17,6354.8,6354.8,50.62,321086.29,2018-10-29 14:29:00,"BTC","USD",2018-10-29 14:28:00
"14",6356.18,6360.16,6356.09,6360.16,88.15,561084.04,2018-10-29 14:30:00,"BTC","USD",2018-10-29 14:28:00
"15",6354.97,6356.18,6354.91,6356.18,72,460012.31,2018-10-29 14:31:00,"BTC","USD",2018-10-29 14:28:00
"16",6346.42,6354.97,6346.26,6354.97,196.79,1242862.2,2018-10-29 14:32:00,"BTC","USD",2018-10-29 14:28:00
"17",6343.21,6346.66,6343.04,6346.42,64.38,405771.58,2018-10-29 14:33:00,"BTC","USD",2018-10-29 14:28:00
"18",6339.35,6343.21,6339.35,6343.21,0,0,2018-10-29 14:34:00,"BTC","USD",2018-10-29 14:28:00
"19",199.86,200.11,199.82,199.92,3613.32,722483.64,2018-10-29 14:29:00,"ETH","USD",2018-10-29 14:28:00
"20",199.72,199.87,199.72,199.86,1367.91,272250.55,2018-10-29 14:30:00,"ETH","USD",2018-10-29 14:28:00
"21",199.49,199.72,199.49,199.72,1815.4,360066.72,2018-10-29 14:31:00,"ETH","USD",2018-10-29 14:28:00
"22",198.92,199.49,198.9,199.49,2891.43,575732.13,2018-10-29 14:32:00,"ETH","USD",2018-10-29 14:28:00
"23",198.83,198.92,198.83,198.91,648.99,129834.74,2018-10-29 14:33:00,"ETH","USD",2018-10-29 14:28:00
"24",198.7,198.83,198.7,198.83,0,0,2018-10-29 14:34:00,"ETH","USD",2018-10-29 14:28:00
"25",0.03153,0.03153,0.03152,0.03153,977.65,30.81,2018-10-29 14:29:00,"ETH","BTC",2018-10-29 14:28:00
"26",0.03151,0.03153,0.0315,0.03153,1100.87,34.67,2018-10-29 14:30:00,"ETH","BTC",2018-10-29 14:28:00
"27",0.03149,0.0315,0.03148,0.0315,1303.61,41.06,2018-10-29 14:31:00,"ETH","BTC",2018-10-29 14:28:00
"28",0.03144,0.03148,0.03144,0.03148,2332.61,73.32,2018-10-29 14:32:00,"ETH","BTC",2018-10-29 14:28:00
"29",0.03142,0.03143,0.03142,0.03143,1020.2,32.04,2018-10-29 14:33:00,"ETH","BTC",2018-10-29 14:28:00
"30",0.03142,0.03142,0.03142,0.03142,0,0,2018-10-29 14:34:00,"ETH","BTC",2018-10-29 14:28:00
"31",5.28,5.29,5.28,5.28,15925.38,84161.85,2018-10-29 14:29:00,"EOS","USD",2018-10-29 14:28:00
"32",5.26,5.28,5.26,5.28,13028.64,68576.08,2018-10-29 14:30:00,"EOS","USD",2018-10-29 14:28:00
"33",5.25,5.26,5.25,5.26,17514.84,92103.53,2018-10-29 14:31:00,"EOS","USD",2018-10-29 14:28:00
"34",5.24,5.26,5.23,5.25,55367.69,289927.11,2018-10-29 14:32:00,"EOS","USD",2018-10-29 14:28:00
"35",5.24,5.24,5.23,5.24,3932.84,20593.02,2018-10-29 14:33:00,"EOS","USD",2018-10-29 14:28:00
"36",5.23,5.24,5.23,5.24,0,0,2018-10-29 14:34:00,"EOS","USD",2018-10-29 14:28:00
"37",0.00003532,0.00003542,0.00003532,0.00003542,83399.3,2.94,2018-10-29 14:29:00,"XLM","BTC",2018-10-29 14:28:00
"38",0.00003533,0.00003536,0.00003532,0.00003533,56845.95,2.01,2018-10-29 14:30:00,"XLM","BTC",2018-10-29 14:28:00
"39",0.00003535,0.00003535,0.00003532,0.00003532,66569.05,2.35,2018-10-29 14:31:00,"XLM","BTC",2018-10-29 14:28:00
"40",0.00003535,0.00003536,0.00003531,0.00003534,123943.72,4.38,2018-10-29 14:32:00,"XLM","BTC",2018-10-29 14:28:00
"41",0.00003532,0.00003536,0.00003531,0.00003536,89498.76,3.17,2018-10-29 14:33:00,"XLM","BTC",2018-10-29 14:28:00
"42",0.00003531,0.00003532,0.00003531,0.00003532,0,0,2018-10-29 14:34:00,"XLM","BTC",2018-10-29 14:28:00
"43",0.02284,0.02285,0.02282,0.02285,41840.08,944.57,2018-10-29 14:29:00,"TRX","USD",2018-10-29 14:28:00
"44",0.02284,0.02284,0.02284,0.02284,2685.32,62.52,2018-10-29 14:30:00,"TRX","USD",2018-10-29 14:28:00
"45",0.02284,0.02284,0.02284,0.02284,4009.12,93.21,2018-10-29 14:31:00,"TRX","USD",2018-10-29 14:28:00
"46",0.02277,0.02284,0.02276,0.02284,115108.88,2614.41,2018-10-29 14:32:00,"TRX","USD",2018-10-29 14:28:00
"47",0.02265,0.02286,0.02261,0.02272,73813.31,1657.74,2018-10-29 14:33:00,"TRX","USD",2018-10-29 14:28:00
"48",0.0226,0.02265,0.0226,0.02265,0,0,2018-10-29 14:34:00,"TRX","USD",2018-10-29 14:28:00
"49",0.07022,0.07022,0.07022,0.07022,7013.11,491.27,2018-10-29 14:29:00,"ADA","USD",2018-10-29 14:28:00
"50",0.07021,0.07029,0.07021,0.07029,35873.26,2511.13,2018-10-29 14:30:00,"ADA","USD",2018-10-29 14:28:00
"51",0.0702,0.07021,0.0702,0.07021,219363.45,15355.44,2018-10-29 14:31:00,"ADA","USD",2018-10-29 14:28:00
"52",0.06991,0.07019,0.06991,0.07019,1350,93.98,2018-10-29 14:32:00,"ADA","USD",2018-10-29 14:28:00
"53",0.06967,0.06991,0.06967,0.06991,36392.87,2538.03,2018-10-29 14:33:00,"ADA","USD",2018-10-29 14:28:00
"54",0.06967,0.06967,0.06967,0.06967,0,0,2018-10-29 14:34:00,"ADA","USD",2018-10-29 14:28:00
"55",0.06967,0.06967,0.06967,0.06967,0,0,2018-10-29 14:35:00,"ADA","USD",2018-10-29 14:28:00
"56",0.00000354,0.00000354,0.00000354,0.00000354,1453232.43,5.15,2018-10-29 14:29:00,"TRX","BTC",2018-10-29 14:28:00
"57",0.00000354,0.00000354,0.00000354,0.00000354,1111579.93,3.93,2018-10-29 14:30:00,"TRX","BTC",2018-10-29 14:28:00
"58",0.00000354,0.00000354,0.00000354,0.00000354,808140.44,2.86,2018-10-29 14:31:00,"TRX","BTC",2018-10-29 14:28:00
"59",0.00000354,0.00000354,0.00000353,0.00000353,9542824.52,33.48,2018-10-29 14:32:00,"TRX","BTC",2018-10-29 14:28:00
"60",0.00000352,0.00000354,0.00000351,0.00000354,9168273.06,32.17,2018-10-29 14:33:00,"TRX","BTC",2018-10-29 14:28:00
"61",0.00000352,0.00000352,0.00000352,0.00000352,0,0,2018-10-29 14:34:00,"TRX","BTC",2018-10-29 14:28:00
"62",0.0000035,0.00000352,0.0000035,0.00000352,0,0,2018-10-29 14:35:00,"TRX","BTC",2018-10-29 14:28:00
"63",0.002235,0.002235,0.00223,0.002231,18044.05,40.32,2018-10-29 14:29:00,"XRP","ETH",2018-10-29 14:28:00
"64",0.002232,0.002235,0.002229,0.002235,10707.91,23.89,2018-10-29 14:30:00,"XRP","ETH",2018-10-29 14:28:00
"65",0.002232,0.002232,0.002232,0.002232,1817,4.05,2018-10-29 14:31:00,"XRP","ETH",2018-10-29 14:28:00
"66",0.002231,0.002231,0.002228,0.002228,5153.05,11.51,2018-10-29 14:32:00,"XRP","ETH",2018-10-29 14:28:00
"67",0.002231,0.002233,0.002231,0.002233,1161.24,2.6,2018-10-29 14:33:00,"XRP","ETH",2018-10-29 14:28:00
"68",0.002231,0.002231,0.002231,0.002231,0,0,2018-10-29 14:34:00,"XRP","ETH",2018-10-29 14:28:00
"69",0.002228,0.002231,0.002228,0.002231,0,0,2018-10-29 14:35:00,"XRP","ETH",2018-10-29 14:28:00
"70",425.49,425.49,425.49,425.49,0,0,2018-10-29 14:29:00,"BCC","USD",2018-10-29 14:28:00
"71",425.23,425.23,425.23,425.23,0,0,2018-10-29 14:30:00,"BCC","USD",2018-10-29 14:28:00
"72",425.15,425.15,425.15,425.15,0,0,2018-10-29 14:31:00,"BCC","USD",2018-10-29 14:28:00
"73",424.58,424.58,424.58,424.58,0,0,2018-10-29 14:32:00,"BCC","USD",2018-10-29 14:28:00
"74",424.36,424.36,424.36,424.36,0,0,2018-10-29 14:33:00,"BCC","USD",2018-10-29 14:28:00
"75",424.36,424.36,424.36,424.36,0,0,2018-10-29 14:34:00,"BCC","USD",2018-10-29 14:28:00
"76",424.09,424.36,424.09,424.36,0,0,2018-10-29 14:35:00,"BCC","USD",2018-10-29 14:28:00
"77",0.2265,0.2265,0.2264,0.2264,12044.55,2729.49,2018-10-29 14:29:00,"XLM","USD",2018-10-29 14:28:00
"78",0.2264,0.2264,0.2264,0.2264,1627.97,367.68,2018-10-29 14:30:00,"XLM","USD",2018-10-29 14:28:00
"79",0.2263,0.2264,0.2263,0.2264,20469.63,4611.02,2018-10-29 14:31:00,"XLM","USD",2018-10-29 14:28:00
"80",0.2262,0.2263,0.2262,0.2263,43171.25,9657.87,2018-10-29 14:32:00,"XLM","USD",2018-10-29 14:28:00
"81",0.2258,0.2263,0.2257,0.2263,96754.36,21608.35,2018-10-29 14:33:00,"XLM","USD",2018-10-29 14:28:00
"82",0.2258,0.2258,0.2258,0.2258,0,0,2018-10-29 14:34:00,"XLM","USD",2018-10-29 14:28:00
"83",0.2257,0.2258,0.2257,0.2258,0,0,2018-10-29 14:35:00,"XLM","USD",2018-10-29 14:28:00
"84",0.00001109,0.0000111,0.00001106,0.00001109,149441.45,1.66,2018-10-29 14:29:00,"ADA","BTC",2018-10-29 14:28:00
"85",0.00001107,0.00001109,0.00001106,0.00001109,208977.33,2.31,2018-10-29 14:30:00,"ADA","BTC",2018-10-29 14:28:00
"86",0.00001106,0.00001107,0.00001105,0.00001107,250436.11,2.77,2018-10-29 14:31:00,"ADA","BTC",2018-10-29 14:28:00
"87",0.00001105,0.00001107,0.00001104,0.00001106,213901.44,2.36,2018-10-29 14:32:00,"ADA","BTC",2018-10-29 14:28:00
"88",0.00001103,0.00001105,0.00001102,0.00001105,132693,1.46,2018-10-29 14:33:00,"ADA","BTC",2018-10-29 14:28:00
"89",0.00001103,0.00001103,0.00001103,0.00001103,0,0,2018-10-29 14:34:00,"ADA","BTC",2018-10-29 14:28:00
"90",0.00001103,0.00001103,0.00001103,0.00001103,0,0,2018-10-29 14:35:00,"ADA","BTC",2018-10-29 14:28:00
"91",0.0008282,0.0008287,0.0008278,0.0008287,22123.25,18.3,2018-10-29 14:29:00,"EOS","BTC",2018-10-29 14:28:00
"92",0.000827,0.0008286,0.000827,0.0008282,48285.78,39.88,2018-10-29 14:30:00,"EOS","BTC",2018-10-29 14:28:00
"93",0.0008268,0.0008271,0.0008267,0.000827,20579.77,16.99,2018-10-29 14:31:00,"EOS","BTC",2018-10-29 14:28:00
"94",0.0008249,0.0008267,0.0008244,0.0008267,35550.08,29.25,2018-10-29 14:32:00,"EOS","BTC",2018-10-29 14:28:00
"95",0.0008233,0.0008251,0.0008229,0.000825,15875.77,13.04,2018-10-29 14:33:00,"EOS","BTC",2018-10-29 14:28:00
"96",0.0008233,0.0008233,0.0008233,0.0008233,0,0,2018-10-29 14:34:00,"EOS","BTC",2018-10-29 14:28:00
